Beaver County,UT,Beaver County Clerk,435-438-6463,ocd-division/country:us/state:ut/county:beaver
Box Elder County,UT,Box Elder County Clerk,435-734-3355,ocd-division/country:us/state:ut/county:box_elder
Cache County,UT,Cache County Clerk,435-716-7150,ocd-division/country:us/state:ut/county:cache
Carbon County,UT,Carbon County Clerk,435-636-3224,ocd-division/country:us/state:ut/county:carbon
Daggett County,UT,Daggett County Clerk,435-784-3154,ocd-division/country:us/state:ut/county:daggett
Davis County,UT,Davis County Clerk,801-451-3324,ocd-division/country:us/state:ut/county:davis
Duchesne County,UT,Duchesne County Clerk,435-738-1228,ocd-division/country:us/state:ut/county:duchesne
Emery County,UT,Emery County Clerk,435-381-5106,ocd-division/country:us/state:ut/county:emery
Garfield County,UT,Garfield County Clerk,435-676-8826,ocd-division/country:us/state:ut/county:garfield
Grand County,UT,Grand County Clerk,435-259-1321,ocd-division/country:us/state:ut/county:grand
Iron County,UT,Iron County Clerk,435-477-8340,ocd-division/country:us/state:ut/county:iron
Juab County,UT,Juab County Clerk,435-623-3410,ocd-division/country:us/state:ut/county:juab
Kane County,UT,Kane County Clerk,435-644-2458,ocd-division/country:us/state:ut/county:kane
Millard County,UT,Millard County Clerk,435-743-6223,ocd-division/country:us/state:ut/county:millard
Morgan County,UT,Morgan County Clerk,801-829-6176,ocd-division/country:us/state:ut/county:morgan
Piute County,UT,Piute County Clerk,435-577-2840,ocd-division/country:us/state:ut/county:piute
Rich County,UT,Rich County Clerk,435-793-2415,ocd-division/country:us/state:ut/county:rich
Salt Lake County,UT,Salt Lake County Clerk,385-468-7400,ocd-division/country:us/state:ut/county:salt_lake
San Juan County,UT,San Juan County Clerk,435-587-3223,ocd-division/country:us/state:ut/county:san_juan
Sanpete County,UT,Sanpete County Clerk,435-835-2131,ocd-division/country:us/state:ut/county:sanpete
Sevier County,UT,Sevier County Clerk,435-893-0400,ocd-division/country:us/state:ut/county:sevier
Summit County,UT,Summit County Clerk,435-336-3204,ocd-division/country:us/state:ut/county:summit
Tooele County,UT,Tooele County Clerk,435-843-3140,ocd-division/country:us/state:ut/county:tooele
Uintah County,UT,Uintah County Clerk,435-781-5361,ocd-division/country:us/state:ut/county:uintah
Utah County,UT,Utah County Clerk,801-851-8128,ocd-division/country:us/state:ut/county:utah
Wasatch County,UT,Wasatch County Clerk,435-654-3211,ocd-division/country:us/state:ut/county:wasatch
Washington County,UT,Washington County Clerk,435-634-5712,ocd-division/country:us/state:ut/county:washington
Wayne County,UT,Wayne County Clerk,435-836-1300,ocd-division/country:us/state:ut/county:wayne
Weber County,UT,Weber County Clerk,801-399-8400,ocd-division/country:us/state:ut/county:weber
